state_id,state_name,day,rs,hk,pod,far,month,year
1,Jammu & Kashmir,1,68,0.4,0.8,0.4,5,2020
1,Jammu & Kashmir,2,59.4,0.2,0.6,0.5,5,2020
1,Jammu & Kashmir,3,66.1,0.4,0.8,0.4,5,2020
1,Jammu & Kashmir,4,70.1,0.4,0.8,0.4,5,2020
1,Jammu & Kashmir,5,62,0.2,0.6,0.4,5,2020
2,Himachal Pradesh,1,61.7,0.3,0.8,0.6,5,2020
2,Himachal Pradesh,2,65.5,0.4,0.8,0.5,5,2020
2,Himachal Pradesh,3,62,0.3,0.8,0.5,5,2020
2,Himachal Pradesh,4,65.7,0.4,0.8,0.5,5,2020
2,Himachal Pradesh,5,65.9,0.4,0.8,0.5,5,2020
3,Punjab,1,82.1,0.7,0.9,0.4,5,2020
3,Punjab,2,71.8,0.5,0.8,0.6,5,2020
3,Punjab,3,78.2,0.6,0.8,0.4,5,2020
3,Punjab,4,73.1,0.4,0.7,0.5,5,2020
3,Punjab,5,69.2,0.2,0.4,0.6,5,2020
4,Chandigarh,1,88.5,0.6,0.6,0,5,2020
4,Chandigarh,2,76.9,0.3,0.4,0.4,5,2020
4,Chandigarh,3,69.2,0.3,0.5,0.5,5,2020
4,Chandigarh,4,76.9,0.4,0.6,0.4,5,2020
4,Chandigarh,5,73.1,0.2,0.3,0.5,5,2020
5,Uttarakhand,1,81.7,0.7,0.9,0.4,5,2020
5,Uttarakhand,2,76.9,0.5,0.7,0.4,5,2020
5,Uttarakhand,3,76.9,0.6,0.9,0.4,5,2020
5,Uttarakhand,4,74,0.6,0.9,0.5,5,2020
5,Uttarakhand,5,72.1,0.5,0.7,0.5,5,2020
6,Haryana,1,82.6,0.5,0.6,0.4,5,2020
6,Haryana,2,72.7,0.4,0.6,0.6,5,2020
6,Haryana,3,67.7,0.2,0.5,0.6,5,2020
6,Haryana,4,69,0.4,0.7,0.6,5,2020
6,Haryana,5,70.3,0.3,0.6,0.6,5,2020
7,NCT of Delhi,1,84.6,0.4,0.5,0.4,5,2020
7,NCT of Delhi,2,78.8,0.6,0.8,0.6,5,2020
7,NCT of Delhi,3,71.2,0.2,0.3,0.6,5,2020
7,NCT of Delhi,4,76.9,0.5,0.7,0.5,5,2020
7,NCT of Delhi,5,73.1,0.3,0.5,0.6,5,2020
8,Rajasthan,1,89.3,0.6,0.6,0.4,5,2020
8,Rajasthan,2,87.1,0.5,0.6,0.5,5,2020
8,Rajasthan,3,87,0.4,0.5,0.5,5,2020
8,Rajasthan,4,87.4,0.5,0.6,0.5,5,2020
8,Rajasthan,5,84.8,0.5,0.7,0.5,5,2020
9,Uttar Pradesh,1,82.7,0.3,0.4,0.5,5,2020
