S NO,STATION_NUMBER,DISTRICT_NAME,BLOCK,LOCATION,LONGITUDE,LATITUDE,STATION_TYPE,TIME,cloudiness,Humidity (%),RAIN (mm),TEMPERATURE (C),Wind Direction (Deg),Wind Speed (m/s)
1,10562,East Champaran,Adapur,Andhra,84.87351,26.837385,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.1,0,38.3,130.4,6.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.3,0,30.7,95.5,5.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,40.2,3.5,39.3,86.7,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,66.6,0,31.5,98.4,6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,40.1,6.4,41.9,82,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.3,0,30,110.6,5.2
2,10571,East Champaran,Adapur,Bakhari,84.987992,26.881318,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.1,2.3,38.4,130.2,5.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.3,0,30.4,94.8,5.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,43.8,7.6,38.9,80.9,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,67.7,0,31.3,97,6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,41.1,2.2,41.6,193,1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,79.7,0,30.1,120.1,5.5
3,10558,East Champaran,Adapur,Belwa,85.976065,26.659451,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,46.4,0,36.8,137.2,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,80.1,0,29.6,90.9,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.7,0,37.9,115.8,6.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.9,72.2,0,30.9,92.2,6.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,60.3,5.4,40.7,99.7,9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,77.9,0,29.7,98.3,6.9
4,10568,East Champaran,Adapur,Bhawani pur,84.887638,26.928871,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,43.6,3.3,38.6,92.7,4.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.8,0,30.5,93.3,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,40.5,0,39,86.8,3.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,65.1,0,31.5,93.3,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,39.7,3.4,41.7,161.4,3.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.2,0.1,30.1,92.4,3.3
5,10559,East Champaran,Adapur,Bhediyari,84.925577,26.896081,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,41.9,0,38.5,122.1,4.8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.4,0,30.6,95.2,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,39.1,0,39,105.9,4.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,65.8,0,31.5,95.6,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,43.7,22.4,41.7,179.6,2.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.8,0,30,116.8,4.7
6,10569,East Champaran,Adapur,Brawa,84.903136,26.929624,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,43.8,2,38.6,87.2,3.6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,71.5,0,30.5,93.5,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.8,0,39.1,110.6,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,65.5,0,31.4,92.7,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,40.1,1.9,41,183.7,3.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,79.4,0.2,30.2,108.2,3.5
7,10564,East Champaran,Adapur,Dubaha,84.951449,26.914349,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,1.6,38.5,126.9,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72,0,30.5,94.9,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,42,6.9,38.9,103.6,3.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,67.4,0,31.3,96.4,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,44.3,10.7,41.6,220.6,2.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.5,0,30,120.6,5.1
8,10563,East Champaran,Adapur,Gamhariya Kala,84.917029,26.841664,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,42.9,0,38.3,132.2,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.6,0,30.6,95.5,5.7
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,40.5,6.4,39.2,89.8,4.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,67.2,0,31.4,97.6,6.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,43.8,18.3,41.8,33.8,0.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.4,0,29.9,115.5,5.2
9,10566,East Champaran,Adapur,Harpur,84.922725,26.962344,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,45.9,0,38.5,91.6,2.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,70.7,0,30.4,89.8,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,42.5,3.3,38.8,97.9,3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,65.7,0,31.1,91.5,5.4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,39.3,0,41.4,167.9,3.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.7,6.9,30,39.3,2.3
10,10570,East Champaran,Adapur,Koraiya,84.956872,26.933184,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.8,0.5,38.5,92.4,3.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,71.4,0,30.5,93.3,5.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,40.3,0.2,38.6,109.2,4.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,66,0,31.3,92.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,41.9,8.4,41.5,187.4,2.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,79.8,0.3,30.1,120.6,4.3
11,10560,East Champaran,Adapur,Laxamipur Pokhariya,84.896749,26.93522,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,43.8,2,38.6,87.2,3.6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,71.5,0,30.5,93.5,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.8,0,39.1,110.6,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,65.5,0,31.4,92.7,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,40.1,1.9,41,183.7,3.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,79.4,0.2,30.2,108.2,3.5
12,10561,East Champaran,Adapur,Majhariya,84.881556,26.872686,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.1,0,38.3,130.4,6.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.3,0,30.7,95.5,5.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,40.2,3.5,39.3,86.7,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,66.6,0,31.5,98.4,6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,40.1,6.4,41.9,82,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.3,0,30,110.6,5.2
13,10565,East Champaran,Adapur,Mukatiya,84.949444,26.910593,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,1.6,38.5,126.9,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72,0,30.5,94.9,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,42,6.9,38.9,103.6,3.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,67.4,0,31.3,96.4,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,44.3,10.7,41.6,220.6,2.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.5,0,30,120.6,5.1
14,10567,East Champaran,Adapur,Nakardhei,84.881956,26.956425,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.8,0,38.5,96,4.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,70.6,0,30.5,89.8,5.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,43.6,4.4,38.7,61.8,3.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.6,65.5,0,31.2,92.4,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,39.8,1.9,40.7,173.2,3.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.5,8.4,30,46.4,3.1
15,10049,East Champaran,Adapur,Srichiya,84.946214,26.93432,TWS,22JUN2020 1730 IST (12 hr FCST),1,43.8,0.5,38.5,92.4,3.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,71.4,0,30.5,93.3,5.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,40.3,0.2,38.6,109.2,4.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,66,0,31.3,92.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,41.9,8.4,41.5,187.4,2.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,79.8,0.3,30.1,120.6,4.3
16,10557,East Champaran,Adapur,Syampur,84.951449,26.914349,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,1.6,38.5,126.9,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72,0,30.5,94.9,5.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,42,6.9,38.9,103.6,3.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,67.4,0,31.3,96.4,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,44.3,10.7,41.6,220.6,2.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.5,0,30,120.6,5.1
17,10298,East Champaran,Areraj,Areraj,84.666145,26.5503,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,43.8,0,37,106.9,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.5,0,30.3,87.9,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,37.8,0,39.7,167.8,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.8,0.6,31.8,93.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,36.7,2.7,40.5,141.3,3.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.4,0,29.7,106.3,5.5
18,10299,East Champaran,Areraj,Babhanauli,84.598355,26.540551,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.2,0,36.4,114.8,5.8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.5,0,30.3,87.7,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,38,0,39.6,144,5.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.7,0.4,31.8,93.9,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,38.8,5.9,40.8,236.7,2.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.4,0,29.8,107.4,5.5
19,10308,East Champaran,Areraj,Bahadhurpur,84.68609,26.53972,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,45.1,0,37.1,98.8,6.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.5,0,30.2,88,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,37,0,39.6,163.5,3.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.7,0,31.8,94,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,38.7,9.7,41.2,152,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.1,0,29.6,104,5.3
20,10310,East Champaran,Areraj,Chatiya Chintamanpur,84.564351,26.537436,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.1,0,36.6,112.5,4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.4,0,30.3,87.3,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.2,0,39.3,131,6.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.7,1.5,31.8,94.6,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,45.9,8.6,40.7,240.4,5.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.6,0,29.8,107.4,5.3
21,10311,East Champaran,Areraj,Ckakiya Badaharwa,84.568567,26.548977,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.1,0,36.6,112.5,4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.4,0,30.3,87.3,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.2,0,39.3,131,6.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.7,1.5,31.8,94.6,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,45.9,8.6,40.7,240.4,5.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.6,0,29.8,107.4,5.3
22,10302,East Champaran,Areraj,Mamarkha,84.553662,26.568483,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.6,1,37.8,94.7,3.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.2,0,30.3,87.8,5.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.4,37.7,0,38.6,138.8,6.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.2,0,31.8,95.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,39.3,1.7,41.2,219.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,84.8,0,29.9,108.1,5.4
23,10300,East Champaran,Areraj,Manguraha,84.606555,26.55874,TRG,22JUN2020 1730 IST (12 hr FCST),1,45,0.4,37.7,105,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.3,0,30.3,87.9,5.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,37.4,0,39.5,147.7,5.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,68.2,0,31.8,95.4,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,36.7,1.6,41.2,33.1,0.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85,0,29.8,106.6,5.6
24,10304,East Champaran,Areraj,Misrauliya,84.57557,26.50328,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.3,1.4,36.1,131.3,5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.8,73.9,0,30.2,87.3,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,39,2.4,39.8,99.7,5.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,69.6,1.5,31.7,92.9,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,43.6,0,41.1,281.8,4.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,84.9,0,29.9,103.7,5.3
25,10309,East Champaran,Areraj,Muda,84.659192,26.536957,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,43.8,0,37,106.9,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.5,0,30.3,87.9,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,37.8,0,39.7,167.8,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.8,0.6,31.8,93.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,36.7,2.7,40.5,141.3,3.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.4,0,29.7,106.3,5.5
26,10307,East Champaran,Areraj,Nagdaha,84.565948,26.523151,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.1,0,36.6,112.5,4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.4,0,30.3,87.3,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.2,0,39.3,131,6.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.7,1.5,31.8,94.6,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,45.9,8.6,40.7,240.4,5.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.6,0,29.8,107.4,5.3
27,10301,East Champaran,Areraj,Namarkha Bhiya Tola,84.57287,26.568886,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.6,1,37.8,94.7,3.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.2,0,30.3,87.8,5.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.4,37.7,0,38.6,138.8,6.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.2,0,31.8,95.9,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,39.3,1.7,41.2,219.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,84.8,0,29.9,108.1,5.4
28,10306,East Champaran,Areraj,Nawada,84.658538,26.494293,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,43.2,0,37.1,114.1,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.6,0,30.3,89.9,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.4,2,39.6,130.1,2.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69.5,0,31.7,92.6,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,37.1,3.2,41.6,104.6,4.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.4,0,29.7,106.1,5.4
29,10305,East Champaran,Areraj,Pipra,84.61644,26.50236,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.3,0,36.1,120.5,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.8,73.7,0,30.2,88.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.2,0,39.8,103.2,3.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,69,0,31.8,92.7,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,37.9,2.7,41.1,69.8,0.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.1,0,29.8,105,5.4
30,10035,East Champaran,Areraj,Radhiya,84.62758,26.55442,TWS,22JUN2020 1730 IST (12 hr FCST),0.9,47,2.3,37.5,105,6.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,88.1,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,36.8,0,39.9,152.8,4.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.5,0,31.8,95.2,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,37,1.3,41.4,50.1,2.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.2,0,29.8,104.6,5.6
31,10303,East Champaran,Areraj,Saraiya,84.603874,26.497626,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.3,0,36.1,120.5,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.8,73.7,0,30.2,88.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.2,0,39.8,103.2,3.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,69,0,31.8,92.7,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,37.9,2.7,41.1,69.8,0.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.1,0,29.8,105,5.4
32,10031,East Champaran,Banjaria,Ajagari,84.88379,26.6963,TWS,22JUN2020 1730 IST (12 hr FCST),0.8,50.7,0,37.8,127.9,9.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.6,0,30.6,86.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.3,5.5,38.5,116.7,4.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68,0,31.6,96.6,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,39.2,1.1,41.6,22.5,3.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,83.5,0,29.7,100.3,5.5
33,10256,East Champaran,Banjaria,Banjaria,84.884709,26.667891,TRG,22JUN2020 1730 IST (12 hr FCST),1,51.3,0,37.8,119.9,9.5
